Time, Date, Latitude, Longitude, Elevation, Speed (Knots), Angle, Fix, Quality, Satellites, Color Temp, Lux, R, G, B, C
7:18:42.0,0/0/200,3407.7495N,11808.8906W,234.10,0.00,0.00,0,2,8,4151,108,117,132,84,343
7:18:42.0,9/21/2014,3407.7495N,11808.8906W,234.10,0.14,143.85,1,2,8,4109,110,120,134,85,351
7:18:43.0,9/21/2014,3407.7495N,11808.8906W,234.10,0.11,185.19,1,2,8,4183,92,101,113,73,297
7:18:44.0,9/21/2014,3407.7495N,11808.8906W,234.10,0.08,217.35,1,2,8,4183,92,101,113,73,297
7:18:45.0,9/21/2014,3407.7495N,11808.8906W,234.10,0.06,234.52,1,2,8,4183,92,101,113,73,297
7:18:46.0,9/21/2014,3407.7495N,11808.8906W,234.10,0.10,248.41,1,2,8,4183,92,101,113,73,296
7:18:47.0,9/21/2014,3407.7495N,11808.8916W,234.10,0.13,222.01,1,2,8,4183,92,101,113,73,296
7:18:48.0,9/21/2014,3407.7495N,11808.8916W,234.10,0.13,202.72,1,2,8,4183,92,101,113,73,296
7:18:49.0,9/21/2014,3407.7495N,11808.8916W,234.10,0.16,242.79,1,2,8,4183,92,101,113,73,295
7:18:50.0,9/21/2014,3407.7495N,11808.8916W,234.10,0.14,210.23,1,2,8,4183,92,101,113,73,296
7:18:51.0,9/21/2014,3407.7495N,11808.8916W,234.10,0.21,239.22,1,2,8,4183,92,101,113,73,297
7:18:52.0,9/21/2014,3407.7492N,11808.8916W,234.10,0.28,255.75,1,2,8,4183,92,101,113,73,297
7:18:53.0,9/21/2014,3407.7490N,11808.8916W,234.10,0.17,243.92,1,2,8,4183,92,101,113,73,297
7:18:54.0,9/21/2014,3407.7487N,11808.8916W,234.10,0.21,261.32,1,2,8,4183,92,101,113,73,297
7:18:55.0,9/21/2014,3407.7487N,11808.8925W,234.10,0.30,268.77,1,2,8,4183,92,101,113,73,297
7:18:56.0,9/21/2014,3407.7487N,11808.8925W,234.10,0.26,269.45,1,2,8,4183,92,101,113,73,297
7:18:57.0,9/21/2014,3407.7487N,11808.8925W,234.10,0.15,236.52,1,2,8,4183,92,101,113,73,296
7:18:58.0,9/21/2014,3407.7487N,11808.8925W,234.10,0.12,217.66,1,2,8,4183,92,101,113,73,296
7:18:59.0,9/21/2014,3407.7487N,11808.8925W,234.10,0.19,205.26,1,2,8,4183,92,101,113,73,296
7:19:0.0,9/21/2014,3407.7485N,11808.8925W,234.10,0.15,222.40,1,2,8,4183,92,101,113,73,296
7:19:1.0,9/21/2014,3407.7485N,11808.8925W,234.10,0.31,167.42,1,2,8,4183,92,101,113,73,297
